10	N05CA06	SECOBARBITAL	28:24.0	BARBITURATES
72737	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72738	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72739	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7274	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72742	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
7275	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
72752	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72757	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72763	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72767	G01AF15	BUTOCONAZOLE	84:04.08.08	AZOLES
7277	B05XA02	SODIUM BICARBONATE	40:08.0	ALKALINIZING AGENTS
72772	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72773	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72774	C10AX06	OMEGA-3-TRIGLYCERIDES INCL. OTHER ESTERS AND ACIDS	24:06.9	MISCELLANEOUS ANTILIPEMIC AGENTS
72776	C05AD57	"PRAMOCAINE, COMBINATIONS"	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
7278	C01CA24	EPINEPHRINE	12:12.0	SYMPATHOMIMETIC (ADRENERGIC) AGENTS
72783	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
72784	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
72785	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7279	B05XA02	SODIUM BICARBONATE	40:08.0	ALKALINIZING AGENTS
72793	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72795	D04AB04	BENZOCAINE	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
72796	D08AG02	POVIDONE-IODINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72797	D08AJ01	BENZALKONIUM	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7280	B05BA03	CARBOHYDRATES	40:20.0	CALORIC AGENTS
72801	N06AB05	PAROXETINE	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
72802	N06AB05	PAROXETINE	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
72803	N06AB05	PAROXETINE	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
7281	A03BA01	ATROPINE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
72812	A07FA01	LACTIC ACID PRODUCING ORGANISMS	56:08.0	ANTIDIARRHEA AGENTS
72813	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72814	R02AA20	VARIOUS	32:00.0	MISCELLANEOUS THERAPEUTIC AGENTS
72819	A01AA02	SODIUM MONOFLUOROPHOSPHATE	34:00.0	DENTAL AGENTS
7282	R06AA02	DIPHENHYDRAMINE	56:22.1	ANTIHISTAMINES
72823	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72829	A11BA	"MULTIVITAMINS, PLAIN"	28:28.0	MULTIVITAMIN PREPARATIONS
7283	A12AA07	CALCIUM CHLORIDE	40:12.0	REPLACEMENT PREPARATIONS
72830	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72831	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72832	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72837	D02AB	ZINC PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
7284	A03BA01	ATROPINE	12:08.1	ANTIMUSCARINICS ANTISPASMODICS
72847	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
7285	R06AA02	DIPHENHYDRAMINE	56:22.1	ANTIHISTAMINES
7286	A12AA03	CALCIUM GLUCONATE	40:12.0	REPLACEMENT PREPARATIONS
72862	A09AA04	TILACTASE	56:16.0	DIGESTANTS
72870	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72871	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
72876	D04AX	OTHER ANTIPRURITICS	84:08.01*	OTHER ANALGESICS
7288	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
72889	D08AJ01	BENZALKONIUM	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72890	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
729			92:01.00*	HERBS AND NATURAL PRODUCTS
72901	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	52:32.0	VASOCONSTRICTORS
7291	V08BA01	BARIUM SULPHATE WITH SUSPENDING AGENTS	37:08.0	ROENTGENOGRAPHY
72910	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
72931	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72932	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72933	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
72937	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72938	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72939	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72941	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
72947	D08AE55	"CHLOROXYLENOL, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
72950	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
72951	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72952	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
7297	QS02AA30	"ANTIINFECTIVES, COMBINATIONS"		
72974	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72978	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72980	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
72982	M05BA04	ALENDRONIC ACID	32:24.0	BONE RESORPTION INHIBITORS
72983	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
72986	A02BX13	ALGINIC ACID	56:04.0	ANTACIDS AND ADSORBENTS
72989	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7300	J01CE02	PHENOXYMETHYLPENICILLIN	08:12.16.04	NATURAL PENICILLINS
73000	A12AX	"CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"	88:28.01*	VITAMINS & MINERALS
73004	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
73005	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
73006	J07AH07	"MENINGOCOCCUS C, PURIFIED POLYSACCHARIDES ANTIGEN CONJUGATED"	20:12.0	VACCINES
73007	A12CX	OTHER MINERAL PRODUCTS	88:29.00*	MINERALS
73017	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
7302			28:20.0	ANOREXIGENIC AGENTS & RESPIRATORY AND CNS STIMULANTS
73021	S01GA52	"TETRYZOLINE, COMBINATIONS"	52:32.0	VASOCONSTRICTORS
73022	S01XA20	ARTIFICIAL TEARS AND OTHER INDIFFERENT PREP.	53:32.0	"EENT DRUGS, MISCELLANEOUS"
7303	L01XA01	CISPLATIN	10:00.0	ANTINEOPLASTIC AGENTS
73033	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73039	D11AA	ANTIHIDROTICS	24:12.0	ASTRINGENTS AND DEODORANTS
73046	V03AN01	OXYGEN	32:00.0	MISCELLANEOUS THERAPEUTIC AGENTS
7305	N02BA51	"ACETYLSALICYLIC ACID, COMB EXCL PSYCHOLEPTICS"	28:08.04.24	SALICYLATES
73056	B03BB01	FOLIC ACID	28:08.0	VITAMIN B COMPLEX
73057	A12CE	SELENIUM	88:29.00*	MINERALS
7306	N05CD05	TRIAZOLAM	28:24.1	BENZODIAZEPINES
73065	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
73066	A01AA01	SODIUM FLUORIDE	34:00.0	DENTAL AGENTS
7307	N05CD05	TRIAZOLAM	28:24.1	BENZODIAZEPINES
73074	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
73075	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
73078	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7308	S01AA01	CHLORAMPHENICOL	52:04.0	ANTIBACTERIALS
73090	D10AE01	BENZOYL PEROXIDE	24:28.0	KERATOLYTIC AGENTS
73091	A12AX	"CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"	88:28.01*	VITAMINS & MINERALS
7310	N05AF01	FLUPENTIXOL	28:16.08.32	THIOXANTHENES
73104	A11BA	"MULTIVITAMINS, PLAIN"	28:28.0	MULTIVITAMIN PREPARATIONS
73106	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73108	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73109	R02AA06	CETYLPYRIDINIUM	52:04.9	MISCELLANEOUS ANTI-INFECTIVES
73109	R02AA06	CETYLPYRIDINIUM	52:16.0	LOCAL ANESTHETICS
7311	N05AF01	FLUPENTIXOL	28:16.08.32	THIOXANTHENES
73111	C10AX06	OMEGA-3-TRIGLYCERIDES INCL. OTHER ESTERS AND ACIDS	88:30.00*	OTHER NUTRITIONAL AGENTS
73112	C10AX56	"OMEGA-3-TRIGLYCERIDES, COMBINATIONS"	28:20.0	VITAMIN E
73112	C10AX56	"OMEGA-3-TRIGLYCERIDES, COMBINATIONS"	88:30.00*	OTHER NUTRITIONAL AGENTS
73113	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73114	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73127	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73128	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73139	D08AX08	ETHANOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7315	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73150	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
73154	A01AD11	VARIOUS	52:16.0	LOCAL ANESTHETICS
73155	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73156	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73157	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73158	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73159	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73161	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73163	D02AF	SALICYLIC ACID PREPARATIONS	24:28.0	KERATOLYTIC AGENTS
73164	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73166	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73167	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73169	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7317	D04AA32	DIPHENHYDRAMINE	04:04.0	ETHANOLAMINE DERIVATIVES
732	N05BC01	MEPROBAMATE	28:24.9	MISCELLANEOUS ANXIOLYTICS SEDATIVES AND HYPNOTICS
73205	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
73209	A11JC	"VITAMINS, OTHER COMBINATIONS"	88:28.01*	VITAMINS & MINERALS
73209	A11JC	"VITAMINS, OTHER COMBINATIONS"	88:30.00*	OTHER NUTRITIONAL AGENTS
7321	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73216	D01BA02	TERBINAFINE	08:14.0	ALLYLAMINES
73217	A02BB01	MISOPROSTOL	56:28.3	PROSTAGLANDINS
7323	B05AA01	ALBUMIN	16:00.0	BLOOD DERIVATIVES
7324	J01FA01	ERYTHROMYCIN	08:12.12.04	ERYTHROMYCINS
73242	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73243	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73244	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73245	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73247	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7325	C07AB02	METOPROLOL	24:24.0	BETA-ADRENERGIC BLOCKING AGENTS
73250	A12CC04	MAGNESIUM CITRATE	88:29.00*	MINERALS
73252	A12CB	ZINC	88:29.00*	MINERALS
73257	C09AA05	RAMIPRIL	24:32.0	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS
73258	C09AA05	RAMIPRIL	24:32.0	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS
73259	C09AA05	RAMIPRIL	24:32.0	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS
73261	C09AA05	RAMIPRIL	24:32.0	ANGIOTENSIN-CONVERTING ENZYME INHIBITORS
73262	C01EB09	UBIDECARENONE	88:30.00*	OTHER NUTRITIONAL AGENTS
73265	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73266	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73267	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73268	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73269	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73274	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	04:04.0	ETHANOLAMINE DERIVATIVES
73274	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
73276	D02AA	SILICONE PRODUCTS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
73278	D04AB07	PRAMOCAINE	24:08.0	ANTIPRURITICS AND LOCAL ANESTHETICS
73284	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
73285	A11GA01	ASCORBIC ACID (VIT C)	28:12.0	VITAMIN C
73291	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73292	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73294	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73295	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73297	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73303	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73304	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73305	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73306	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7332	J01FA01	ERYTHROMYCIN	08:12.12.04	ERYTHROMYCINS
73322	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73323	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
7333	A06AD11	LACTULOSE	56:12.0	CATHARTICS AND LAXATIVES
73349	J01MA15	GEMIFLOXACIN	08:12.2	QUINOLONES
73353	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73357	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73360	R05DA20	COMBINATIONS	04:04.2	PROPYLAMINE DERIVATIVES
73360	R05DA20	COMBINATIONS	48:08.0	ANTITUSSIVES
73364	R05DA20	COMBINATIONS	48:08.0	ANTITUSSIVES
73370	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73372	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73373	D08AJ01	BENZALKONIUM	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73374	D08AJ01	BENZALKONIUM	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73375	D08AJ01	BENZALKONIUM	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7338	A11HA03	TOCOPHEROL (VIT E)	28:20.0	VITAMIN E
73380	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73386	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73389	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73390	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73391	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73397	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73398	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
734	R03DA04	THEOPHYLLINE	26:16.0	RESPIRATORY SMOOTH MUSCLE RELAXANTS
73401	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73402	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73404	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73405	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
7341	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73410	N06AB04	CITALOPRAM	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
73411	N06AB04	CITALOPRAM	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
73412	N06AB04	CITALOPRAM	28:16.04.20	SELECTIVE-SEROTONIN REUPTAKE INHIBITORS
7342	D04AX	OTHER ANTIPRURITICS	24:24.1	BASIC OINTMENTS AND PROTECTANTS
73424	N02AB03	FENTANYL	28:08.1	OPIATE AGONISTS
73425	N02AB03	FENTANYL	28:08.1	OPIATE AGONISTS
73426	N02AB03	FENTANYL	28:08.1	OPIATE AGONISTS
73427	N02AB03	FENTANYL	28:08.1	OPIATE AGONISTS
73436	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73440	D08AE04	TRICLOSAN	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73441	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73442	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73450	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73454	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73459	C10AA03	PRAVASTATIN	24:06.1	HMG-COA REDUCTASE INHIBITORS
73460	C10AA03	PRAVASTATIN	24:06.1	HMG-COA REDUCTASE INHIBITORS
73461	C10AA03	PRAVASTATIN	24:06.1	HMG-COA REDUCTASE INHIBITORS
73464	N06AX05	TRAZODONE	28:16.04.24	SEROTONIN MODULATORS
73465	C08DA01	VERAPAMIL	24:28.9	MISCELLANEOUS CALCIUM-CHANNEL BLOCKING AGENTS
73466	C01CE02	MILRINONE	24:04.1	CARDIOTONIC AGENTS
73474	N02AA03	HYDROMORPHONE	28:08.1	OPIATE AGONISTS
73475	N02AA03	HYDROMORPHONE	28:08.1	OPIATE AGONISTS
73476	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7348	A12AX	"CALCIUM, COMBINATIONS WITH VITAMIN D AND/OR OTHER DRUGS"	88:28.01*	VITAMINS & MINERALS
73491	D08AJ51	"BENZALKONIUM, COMBINATIONS"	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
735	J01AA07	TETRACYCLINE	08:12.2	TETRACYCLINES
7350	C01DA08	ISOSORBIDE DINITRATE	24:12.1	NITRATES AND NITRITES
7351	A11AA03	MULTIVITAMINS AND OTHER MINERALS INCL COMBINATIONS	88:28.01*	VITAMINS & MINERALS
73517	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73518	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73520	V07AV	TECHNICAL DISINFECTANTS	38:00.0	DISINFECTANTS (FOR AGENTS USED ON OBJECT)
73522	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73523	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73524	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73525	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73536	D11AX11	HYDROQUINONE	24:50.0	DEPIGMENTING AGENTS
73538	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	48:08.0	ANTITUSSIVES
73539	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	12:12.1	ALPHA-AND BETA-ADRENERGIC AGONISTS
73539	N02BE51	"ACETAMINOPHEN, COMB EXCL PSYCHOLEPTICS"	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
7354	R05DA09	DEXTROMETHORPHAN	48:08.0	ANTITUSSIVES
73544	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73545	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73546	C03AA03	HYDROCHLOROTHIAZIDE	40:28.2	THIAZIDE DIURETICS
73547	C03AA03	HYDROCHLOROTHIAZIDE	40:28.2	THIAZIDE DIURETICS
7355	A09AC02	MULTIENZYMES AND ACID PREPARATIONS	56:16.0	DIGESTANTS
7356			88:29.00*	MINERALS
7358	A06AA01	LIQUID PARAFFIN	56:12.0	CATHARTICS AND LAXATIVES
73586	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73588	D08AC02	CHLORHEXIDINE	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7359	D08AX05	ISOPROPANOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73596	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73597	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
73598	D02BA30	COMBINATIONS OF PROTECTIVES AGAINST UV-RADIATION	84:80.00	SUNSCREEN AGENTS
736	A10BB03	TOLBUTAMIDE	08:20.2	SULFONYLUREAS
7360			24:12.0	ASTRINGENTS AND DEODORANTS
73602	D08AE05	CHLOROXYLENOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73603	D08AE05	CHLOROXYLENOL	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
73609	D02BA02	OCTYL METHOXYCINNAMATE	84:80.00	SUNSCREEN AGENTS
73610	D11AX12	PYRITHIONE ZINC	24:04.9	MISCELLANEOUS LOCAL ANTI-INFECTIVES
7362	N02BA01	ACETYLSALICYLIC ACID	28:08.04.24	SALICYLATES
7363	N02BE01	ACETAMINOPHEN (PARACETAMOL)	28:08.9	MISCELLANEOUS ANALGESICS AND ANTIPYRETICS
