product_desc	form_desc	dosage	dosage_add	volume	packsize	claatc	pfc	molecule	cd_nfc_3	english	lb_nfc_3	descr_pck	strg_unit	strg_meas
ROVALCYTE	CPR PELLIC	450MG	NULL	NULL	60	J05B3	2982702	VALGANCICLOVIR	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 450MG 60	450	MG
SERUM PHYSIO BBM	POCH ECOFLAC	0.9%	NULL	1000ML	1	K01B1	7882161	SODIUM	FQE	Parenteral Immediate	POCHES PERF PARENT.INST.	POCH ECOFLAC .9% 1000ML3610501	0.9	%
COTEVETEN	CPR 600/12.5	NULL	NULL	NULL	30	C09D1	4032003	HYDROCHLOROTHIAZIDE+EPROSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 600/12.5 30	NULL	NULL
FINASTERIDE SANDOZ	CPR PELLIC	5MG	NULL	NULL	28	G04C3	2137101	FINASTERIDE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 5MG 28	5	MG
FENTANYL SANDOZ	DISP 25MCG/H	5.78MG	NULL	NULL	5	N02A0	2335401	FENTANYL	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP 25MCG/H 5.78MG 5	5.78	MG
RANITIDINE SANDOZ	CPR EFFVT	300MG	NULL	NULL	14	A02B1	3735407	RANITIDINE	AAH	Oral Solid Immediate	CPR EFFERV. OR.SOL.INST.	CPR EFFVT 300MG 14	300	MG
PRAVASTATINE ZYDUS	CPR	40MG	NULL	NULL	84	C10A1	3880406	PRAVASTATIN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 40MG 84	40	MG
MODILAC SOJA 1	PDR 1ER AGE	NULL	NULL	900G	1	V06C0	1247103	INFANT MILKS	DYH	Oral Liquid Immediate	ALIM NN PAE OR.LIQ.INST.	PDR 1ER AGE 900G	NULL	NULL
NIDAL NOVAIA LAIT	1ER AGE	NULL	NULL	900G	1	V06C0	3243901	INFANT MILKS	DYH	Oral Liquid Immediate	ALIM NN PAE OR.LIQ.INST.	1ER AGE 900G	NULL	NULL
POCONEOL N13	GTTES	NULL	NULL	15ML	1	V03X0	6869202	DRIMYS GRANATENSIS+SMILAX OFFICINALIS+SCOPARIA DULCIS	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	GTTES 15ML	NULL	NULL
LOSARTAN.HYDR DCI	CPR 160/25MG	NULL	NULL	NULL	90	C09D1	2888002	HYDROCHLOROTHIAZIDE+LOSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 160MG/25MG 90	NULL	NULL
CLIP STRIP	SUT ADH STER	NULL	NULL	NULL	3	V99C0	3373602	NULL	MZY	External Form	A.PROD PARAPH  A USA.EXT.	SUT ADH STER 6MMX75MM 3	NULL	NULL
COLOPLAST DIVERS	MANCHON IRRI	NULL	NULL	NULL	1	V99B0	9725202	COLOSTOMY CARE PRODUCTS	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	MANCHON IRRIG	NULL	NULL
SPRYCEL	CPR PELLIC	50MG	NULL	NULL	60	L01H0	3991005	DASATINIB	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 50MG 60	50	MG
BISOPROLOL+HYD ZEN	CPR 10/6.25	NULL	NULL	NULL	30	C07B1	2552601	HYDROCHLOROTHIAZIDE+BISOPROLOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 10MG/6.25MG 30	NULL	NULL
LEVOTHYROXINE RAT	CPR SEC	25Y	NULL	NULL	28	H03A0	2595601	LEVOTHYROXINE SODIUM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 25Y 28	25	Y
RISEDRONATE ALMUS	CPR PELLIC	35MG	NULL	NULL	12	M05B3	3726702	RISEDRONIC ACID	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 35MG 12	35	MG
UBIT	CPR PELLIC	100MG	NULL	NULL	1	T02X9	1835901	UREA 13C	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG	100	MG
BISOPROLOL ACTAVIS	CPR SEC	5MG	NULL	NULL	30	C07A0	4258904	BISOPROLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 30	5	MG
VIMPAT	CPR PELLIC	200MG	NULL	NULL	56	N03A0	4636306	LACOSAMIDE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 200MG 56	200	MG
LACTULOSE SANDOZ	SOL BUV	66.5%	NULL	200ML	1	A06A6	3791503	LACTULOSE	DGA	Oral Liquid Immediate	LIQUIDE     OR.LIQ.INST.	SOL BUV 66.5% 200ML	66.5	%
PREDNISONE QUALIMED	CPR SEC	5MG	NULL	NULL	30	H02A2	3550301	PREDNISONE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 30	5	MG
LITAK	FL INJ SC	2MG	NULL	5ML	5	L01B0	3649702	CLADRIBINE	FPE	Parenteral Immediate	FLACONS INJECT.ORD.SC	FL INJ SC 2MG/1ML 5 5ML	2	MG
BISOPROLOL+HYD ARR	CPR 2.5/6.25	NULL	NULL	NULL	30	C07B1	3184401	HYDROCHLOROTHIAZIDE+BISOPROLOL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR 2.5MG/6.25MG 30	NULL	NULL
INDAPAMIDE RATIO	LP CPR PELLI	1.5MG	NULL	NULL	30	C03A3	1835501	INDAPAMIDE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR PELLI 1.5MG 30	1.5	MG
RENVELA	PDR SUSP BUV	2.4G	NULL	NULL	90	V03G0	2509403	SEVELAMER	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	PDR SUSP BUV 2.4G 90	2.4	G
PARAGRIPPE	DOSE	NULL	NULL	1G	9	R05A0	6436955	SULFUR+ARNICA MONTANA+ATROPA BELLADONNA+EUPATORIUM PERFOLIATUM+GELSEMIUM SEMPERVIRENS	ADR	Oral Solid Immediate	GLOBULE     OR.SOL.INST.	DOSE 9 1G	NULL	NULL
DOLIPRANE	GELULE	1000MG	ADLT	NULL	8	N02B0	2886031	PARACETAMOL	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 1000MG ADLT 8	1000	MG
METFORMINE ISOMED	CPR PELLIC	500MG	NULL	NULL	30	A10J1	4602701	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 30	500	MG
ABSTRAL	CPR SUBLING	200Y	NULL	NULL	30	N02A0	2188505	FENTANYL	AAF	Oral Solid Immediate	CPR SUBLING OR.SOL.INST.	CPR SUBLING 200Y 30	200	Y
EFFENTORA	CPR.	200Y	NULL	NULL	28	N02A0	2521904	FENTANYL	AAE	Oral Solid Immediate	CPR BUCCAL  OR.SOL.INST.	CPR. 200Y 28	200	Y
ARANESP	STYL SURECLI	20Y	NULL	0.5ML	1	B03C0	2782513	DARBEPOETIN ALFA	FNH	Parenteral Immediate	A-INJ PREREMP PARENT ORD	STYL SURECLI 20Y .5ML	20	Y
CLARITHROMYCIN BIO	CPR PELLIC	500MG	NULL	NULL	14	J01F0	4475704	CLARITHROMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 14	500	MG
VITAXONE	GELULES	NULL	NULL	NULL	60	V07A2	3969001	NICOTINIC ACID+ASCORBIC ACID+PYRIDOXINE+PANTOTHENIC ACID+BIOTIN+THIAMINE+RIBOFLAVIN+FOLIC ACID+RETINOL+COLECALCIFEROL+VITAMIN E+CYANOCOBALAMIN+CALCIUM+CHROMIUM+COPPER+MAGNESIUM+MANGANESE+ZINC+PHYMATOLITHON CALCAREUM+SACCHAROMYCES CEREVISIAE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULES 60	NULL	NULL
PEDIATRIL	GEL LAVANT	NULL	NULL	500ML	1	V99A0	1901209	NULL	MVW	External Form	GEL DOUCHE    A USA.EXT.	GEL LAVANT 500ML	NULL	NULL
ARNICA LAB IND	CPR	NULL	NULL	NULL	50	M05X0	1772503	ARNICA MONTANA	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 50	NULL	NULL
CLOPIDOGREL RATIO	CPR PELLIC	75MG	NULL	NULL	30	B01C2	2434501	CLOPIDOGREL	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 75MG 30	75	MG
CPAP	TT.APNEE SOM	NULL	NULL	NULL	1	V99H0	3433301	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	TT.APNEE SOMMEIL	NULL	NULL
VALACICLOVIR EG	CPR PELLIC	500MG	NULL	NULL	42	J05B3	2525602	VALACICLOVIR	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 42	500	MG
ULTRA LEVURE	A.BUV	NULL	NULL	5ML	30	A07F0	9155241	SACCHAROMYCES BOULARDII	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	A.BUV 30 5ML	NULL	NULL
OLIGOSOL CHROME	A.BUV	NULL	NULL	2ML	28	V07A2	3852601	CHROMIUM	DGN	Oral Liquid Immediate	SOLUT.UNID. OR.LIQ.INST.	A.BUV 28 2ML	NULL	NULL
ROSALIAC	HY PERF ROUG	NULL	NULL	40ML	1	V99A0	3199001	NULL	MGL	External Form	EMULSION      A USA.EXT.	HYDRAT PERFECT A/ROUGEURS 40ML	NULL	NULL
NEBIVOLOL EG	CPR QUADRSEC	5MG	NULL	NULL	90	C07A0	3208402	NEBIVOLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR QUADRSEC 5MG 90	5	MG
CUTICELL CLASSIC	PANS GRAS	NULL	NULL	NULL	5	V99C0	3911601	WOUND HEALING AGENTS	MWD	External Form	COUSSIN.+SUBST  USA.EXT.	PANS GRAS 5CMX5CM 5	NULL	NULL
ONETOUCH VERIO PRO	LECT. GLYCEM	NULL	NULL	NULL	1	V99B0	3446003	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	LECT. GLYCEM	NULL	NULL
CETIRIZINE EVOLUGEN	CPR PEL SEC	10MG	NULL	NULL	15	R06A0	3117501	CETIRIZINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 15	10	MG
AMOROLFINE ZENTIVA	VERN ONG MED	5%	NULL	2.5ML	1	D01A1	3727501	AMOROLFINE	MGD	External Form	LAQUE         A USA.EXT.	VERN ONG MED 5% 2.5ML	5	%
FINASTERIDE ALMUS	CPR PELLIC	5MG	NULL	NULL	28	G04C3	1969401	FINASTERIDE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 5MG 28	5	MG
LOSARTAN ACTAVIS	CPR PELLIC	100MG	NULL	NULL	90	C09C0	2780805	LOSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG 90	100	MG
NOVABIOSTIM	GELULE	NULL	ENF	NULL	30	V07A2	3175602	NICOTINAMIDE+ASCORBIC ACID+PYRIDOXINE+PANTOTHENIC ACID+ADENOSINE PHOSPHATE+THIAMINE+RIBOFLAVIN+FOLIC ACID+COLECALCIFEROL+VITAMIN E+CYANOCOBALAMIN+SACCHAROMYCES CEREVISIAE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE ENF 30	NULL	NULL
DOLOGEL	TTES FORMES	NULL	NULL	NULL	1	V99C0	1297211	PROPOLIS+MATRICARIA CHAMOMILLA+VALERIANA OFFICINALIS	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	TTES FORMES	NULL	NULL
SIMVASTATINE AUROB	CPR PELLIC	20MG	NULL	NULL	28	C10A1	2343803	SIMVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 20MG 28	20	MG
LEVOFLOXACINE ACTA	CPR PEL SEC	500MG	NULL	NULL	5	J01G1	3925701	LEVOFLOXACIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 500MG 5	500	MG
BISOPROLOL RATIOPHARM	CPR	1.25MG	NULL	NULL	30	C07A0	3103301	BISOPROLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 1.25MG 30	1.25	MG
TRAMADOL MYLAN	LP CPR	100MG	NULL	NULL	30	N02B0	2034105	TRAMADOL	BAA	Oral Solid Delayed	COMPRIME     OR.SOL.RET.	LP CPR 100MG 30	100	MG
ESOMEPRAZOLE MYLAN	GELU GASTROR	40MG	NULL	NULL	14	A02B2	3686304	ESOMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELU GASTROR 40MG 14	40	MG
SERUM PHYSIO FRES.	FL PR PER IV	0.9%	NULL	1000ML	1	K01B1	7882096	SODIUM	FQC	Parenteral Immediate	FLAC PERF   PARENT.INST.	FL PR PER IV .9% 1000MLB230331	0.9	%
ESOMEPRAZOLE RATIO	GELU GASTROR	40MG	NULL	NULL	14	A02B2	3726804	ESOMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELU GASTROR 40MG 14	40	MG
DESLORATADINE BIOG	CPR PELLIC	5MG	NULL	NULL	15	R06A0	4200501	DESLORATADINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 5MG 15	5	MG
FOSINOPRIL EG	CPR SEC	10MG	NULL	NULL	90	C09A0	1656302	FOSINOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 10MG 90	10	MG
INDAPAMIDE SANDOZ	LP CPR PELLI	1.5MG	NULL	NULL	30	C03A3	2780201	INDAPAMIDE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR PELLI 1.5MG 30	1.5	MG
FLUCONAZOLE TEVA	GELULE	200MG	NULL	NULL	7	J02A0	4081301	FLUCONAZOLE	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 7	200	MG
INSPRA	CPR PELLIC	50MG	NULL	NULL	90	C03A1	3542306	EPLERENONE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 50MG 90	50	MG
TIRE COMEDON	BOITE	NULL	NULL	NULL	1	V99B0	2689101	NON-DISPOSABLE MEDICAL DEVICE	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	BOITE	NULL	NULL
A40 ARTICULATION	OROGRANULE	NULL	NULL	NULL	40	V07A2	3881402	SHARK CARTILAGE+ULVA LACTUCA+MATRICARIA CHAMOMILLA+CITRUS SINENSIS+FUCUS VESICULOSUS+HARPAGOPHYTUM PROCUMBENS+EQUISETUM ARVENSE+CITRUS LIMONUM+OLEA EUROPEA+SPIRULINA+FILIPENDULA ULMARIA+URTICA DIOICA+VITIS VINIFERA	AEY	Oral Solid Immediate	AUTRE PDR   OR.SOL.INST.	OROGRANULE 40	NULL	NULL
NEBIVOLOL CRISTERS	CPR QUADRSEC	5MG	NULL	NULL	90	C07A0	3669302	NEBIVOLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR QUADRSEC 5MG 90	5	MG
OXELIO	TOPIQ CONC	NULL	NULL	30ML	1	V99A0	1531402	SUN TAN LOTIONS/CREAMS	MGL	External Form	EMULSION      A USA.EXT.	TOPIQ CONC VIT 30ML	NULL	NULL
TEINTURES CODEX	ALOES	NULL	NULL	NULL	1	V03X0	8544902	ALOE SUCCOTRINA	DGB	Oral Liquid Immediate	GOUTTE      OR.LIQ.INST.	ALOES	NULL	NULL
VENLAFAXINE CRIST	LP GELULES	37.5MG	NULL	NULL	30	N06A5	2779901	VENLAFAXINE	BCA	Oral Solid Delayed	CAPSULES     OR.SOL.RET.	LP GELULES 37.5MG 30	37.5	MG
HYDROXYZINE DCI	A.IM	100MG	NULL	2ML	6	N05C0	1090602	HYDROXYZINE	FMD	Parenteral Immediate	AMPOULE I.M.PARENT.INST.	A.IM 100MG 6 2ML	100	MG
ATORVASTATINE SAND	CPR PELLIC	20MG	NULL	NULL	90	C10A1	4547405	ATORVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 20MG 90	20	MG
DICLOFENAC RATIO	GEL TB CONS	1%	NULL	50G	1	M02A0	4518903	DICLOFENAC	MVA	External Form	GEL/SOL         TOPIQUE	GEL TB CONS 1% 50G	1	%
PANTOPRAZOLE RATIO	CP GASTRORES	40MG	NULL	NULL	7	A02B2	1895603	PANTOPRAZOLE	ABD	Oral Solid Immediate	CPR ENTERIQ.OR.SOL.INST.	CP GASTRORES 40MG 7	40	MG
SEDATIF PC	CPR	NULL	NULL	NULL	90	N05B5	7775503	ACONITUM NAPELLUS+ATROPA BELLADONNA+CALENDULA OFFICINALIS+CHELIDONIUM MAJUS+ABRUS PRECATORIUS+VIBURNUM OPULUM	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 90	NULL	NULL
CASTASE CR HP HC	TTES FORMES	NULL	NULL	NULL	1	V06D0	3669903	NUTRITIONAL SUPPLEMENTS	ZYX	Unknown	PROMOTIONNEL  INCONNU	TTES FORMES	NULL	NULL
FENOFIBRATE MYLAN	CPR	145MG	NULL	NULL	30	C10A2	1836113	FENOFIBRATE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 145MG 30	145	MG
XEROQUEL	LP CPR	400MG	NULL	NULL	60	N05A1	2780706	QUETIAPINE	BBA	Oral Solid Delayed	DRAGEE       OR.SOL.RET.	LP CPR 400MG 60	400	MG
LEVOFLOXACINE BIOG	CPR PEL SEC	500MG	NULL	NULL	5	J01G1	3875401	LEVOFLOXACIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 500MG 5	500	MG
ATORVASTATINE ZENT	CPR PELLIC	10MG	NULL	NULL	30	C10A1	4559701	ATORVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 10MG 30	10	MG
ESOMEPRAZOLE ZENTI	GELU GASTROR	20MG	NULL	NULL	7	A02B2	3827001	ESOMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELU GASTROR 20MG 7	20	MG
RISPERIDONE SANDOZ	CPR ORODISP.	2MG	NULL	NULL	28	N05A1	4306712	RISPERIDONE	AAB	Oral Solid Immediate	CPR ORODISP OR SOL INST.	CPR ORODISP. 2MG 28	2	MG
EPREX	SER AUTO INJ	1000IU	NULL	0.5ML	6	B03C0	3170025	EPOETIN ALFA	FNA	Parenteral Immediate	SER PREREMP PARENT.INST.	SER AUTO INJ 1000IU 6 .5ML	1000	IU
SPIRAMYCINE TEVA	CPR PELLIC	3M	NULL	NULL	10	J01F0	1728801	SPIRAMYCIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 3M 10	3	M
CELSENTRI	CPR PELLIC	300MG	NULL	NULL	60	J05C4	4185103	MARAVIROC	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 300MG 60	300	MG
DOMPERIDONE DCI	CPR ORODISP.	10MG	NULL	NULL	30	A03F0	1368808	DOMPERIDONE	AAB	Oral Solid Immediate	CPR ORODISP OR SOL INST.	CPR ORODISP. 10MG 30	10	MG
GLUCOSE LAVOISIER	POCHE PERFUS	5%	NULL	250ML	1	K01B3	3885925	GLUCOSE	FQE	Parenteral Immediate	POCHES PERF PARENT.INST.	POCHE PERFUS 5% 250ML	5	%
INNEOV FERMETE 45	CPR	NULL	NULL	NULL	40	V99A0	4330701	NULL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 40	NULL	NULL
CORTISOL LIBRE	EXAMEN URINE	NULL	NULL	NULL	1	V99D2	1384202	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	EXAMEN URINE	NULL	NULL
MANIDIPINE SANDOZ	CPR	10MG	NULL	NULL	30	C08A0	3689101	MANIDIPINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 10MG 30	10	MG
TERBINAFINE EG	CREME	1%	NULL	15G	1	D01A1	4211904	TERBINAFINE	MTA	External Form	CREME         A USA.EXT.	CREME 1% 15G	1	%
NICORETTE	GOM SSUC M.G	2MG	NULL	NULL	210	N07B0	5934567	NICOTINE	ADF	Oral Solid Immediate	CHEW.GUM    OR.SOL.INST.	GOM SSUC MENTHE GLACIALE 2MG 210	2	MG
RISEDRONATE BIOG	CPR PELLIC	75MG	NULL	NULL	6	M05B3	3415105	RISEDRONIC ACID	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 75MG 6	75	MG
SEBODIANE DS	SERUM LP	NULL	NULL	8ML	1	V99A0	4239002	ANTI-DANDRUFF SHAMPOO	MGL	External Form	EMULSION      A USA.EXT.	SERUM LP 8ML	NULL	NULL
FENTANYL DCI	DISP 12MCG/H	NULL	NULL	NULL	5	N02A0	1359014	FENTANYL	JWN	Other Internal Form	PANS.TRANSDERM.USA.INT.	DISP 12MCG/H 5	NULL	NULL
EUC.PSEN SOLAIRE	LEB PROT 25	NULL	NULL	100ML	1	V99A0	3459105	SUN SCREEN LOTIONS/CREAMS	MVL	External Form	GEL EMULSION  A USA.EXT.	LEB PROT 25 G-CR VIS-CORP100ML	NULL	NULL
GLUCOSAMINE DCI	SAC PDR BUV	1178MG	NULL	NULL	30	M05X0	3944701	GLUCOSAMINE	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	SAC PDR BUV 1178MG 30	1178	MG
AMOROLFINE RANBAXY	VERN ONG MED	5%	NULL	2.5ML	1	D01A1	4256801	AMOROLFINE	MGD	External Form	LAQUE         A USA.EXT.	VERN ONG MED 5% 2.5ML	5	%
LERCANIDIPINE WTR	CPR PEL SEC	10MG	NULL	NULL	30	C08A0	2583101	LERCANIDIPINE	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 10MG 30	10	MG
SIMVASTATINE ACTAVIS	CPR PEL SEC	20MG	NULL	NULL	90	C10A1	4026906	SIMVASTATIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PEL SEC 20MG 90	20	MG
CANDESARTAN ARROW	CPR SEC	4MG	NULL	NULL	30	C09C0	4613301	CANDESARTAN CILEXETIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 4MG 30	4	MG
CANDES.HYDROCH.SDZ	CPR 8/12.5MG	NULL	NULL	NULL	30	C09D1	4559301	HYDROCHLOROTHIAZIDE+CANDESARTAN CILEXETIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 8MG/12.5MG 30	NULL	NULL
NICORETTE	GOM SSUC M.G	2MG	NULL	NULL	30	N07B0	5934565	NICOTINE	ADF	Oral Solid Immediate	CHEW.GUM    OR.SOL.INST.	GOM SSUC MENTHE GLACIALE 2MG 30	2	MG
FOSFOMYCINE MYLAN	GRAN SAC BUV	3G	ADLT	8G	1	G04A1	3102201	FOSFOMYCIN TROMETAMOL	DEP	Oral Liquid Immediate	PDR DOSE    OR.LIQ.INST.	GRAN SAC BUV 3G ADLT 8G	3	G
NIFEDIPINE MYLAN	LP CPR PELLI	20MG	NULL	NULL	60	C08A0	1839205	NIFEDIPINE	BBC	Oral Solid Delayed	CPR PELLIC.  OR.SOL.RET.	LP CPR PELLI 20MG 60	20	MG
BISOPROLOL ACTAVIS	CPR SEC	5MG	NULL	NULL	90	C07A0	4258905	BISOPROLOL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR SEC 5MG 90	5	MG
MEDI ACT.LOMBOSTAN	CEINT. LOMB.	NULL	NULL	NULL	1	V99B0	3139301	NULL	VZY	Non Human Usage Products	AUTRE PARA.NON US.HUMAIN	CEINT. LOMB.	NULL	NULL
OXOMEMAZINE EG	SIROP	0.33MG	NULL	150ML	1	R06A0	3102702	OXOMEMAZINE	DGM	Oral Liquid Immediate	SIROP       OR.LIQ.INST.	SIROP .33MG 1ML 150ML	0.33	MG
LOSARTAN ARROW	CPR PELLIC	100MG	NULL	NULL	28	C09C0	2645603	LOSARTAN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 100MG 28	100	MG
PRAVASTATINE ACC	CPR	20MG	NULL	NULL	84	C10A1	4036405	PRAVASTATIN	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 20MG 84	20	MG
CHARLIEU A/PELLIC	SHP PEL.GRAS	NULL	NULL	200ML	1	V99A0	3435001	ANTI-DANDRUFF SHAMPOO	MGW	External Form	SAV LIQ/BAIN  A USA.EXT.	SHP PEL.GRAS 200ML	NULL	NULL
FRAGON ELUSANES	GELULE	200MG	NULL	NULL	30	C05C0	2359001	RUSCUS ACULEATUS	ACA	Oral Solid Immediate	CAPSULES    OR.SOL.INST.	GELULE 200MG 30	200	MG
BILASTINE DCI	CPR	20MG	NULL	NULL	10	R06A0	3975801	BILASTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 20MG 10	20	MG
BETAHISTINE SANDOZ	CPR	8MG	NULL	NULL	30	N07C0	3622301	BETAHISTINE	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 8MG 30	8	MG
PERIND.INDAP.BIOG	CPR2/0.625MG	NULL	NULL	NULL	90	C09B1	2621902	INDAPAMIDE+PERINDOPRIL	AAA	Oral Solid Immediate	COMPRIME    OR.SOL.INST.	CPR 2MG/0.625MG 90	NULL	NULL
INDACATEROL DCI	GELU PDR INH	150Y	NULL	NULL	30	R03A3	4058201	INDACATEROL	RCT	Pulmonary	CAPS INHAL.      PULMON.	GELU PDR INH 150Y 30	150	Y
VACCIN GRIPPE A	FL INJ	NULL	NULL	NULL	1	J07E1	2516101	"VACCINE, INFLUENZA"	FPE	Parenteral Immediate	FLACONS INJECT.ORD.SC	FL INJ	NULL	NULL
IBUPROFENE DCI	GEL	5%	NULL	60G	1	M02A0	1437711	IBUPROFEN	MVA	External Form	GEL/SOL         TOPIQUE	GEL 5% 60G	5	%
METFORMINE SANDOZ	CPR PELLIC	500MG	NULL	NULL	90	A10J1	2632303	METFORMIN	ABC	Oral Solid Immediate	CPR PELLIC. OR.SOL.INST.	CPR PELLIC 500MG 90	500	MG
ACICLOVIR SANDOZ	CREME	5%	NULL	10G	1	D06D1	3674905	ACICLOVIR	MTA	External Form	CREME         A USA.EXT.	CREME 5% 10G	5	%
DEXTRINE MALT L.IN	PDR	NULL	NULL	NULL	1	V06D0	1818001	MALTODEXTRIN	AEA	Oral Solid Immediate	POUDRE      OR.SOL.INST.	PDR	NULL	NULL
TRIACNEAL	S.DERMATOLOG	NULL	NULL	30ML	1	V99A0	2946701	NULL	MTL	External Form	CREME EMUL.   A USA.EXT.	S.DERMATOLOG 30ML	NULL	NULL
ESOMEPRAZOLE ARROW	GELU GASTROR	20MG	NULL	NULL	7	A02B2	3850901	ESOMEPRAZOLE	ACY	Oral Solid Immediate	AUTRES CAPS OR.SOL.INST.	GELU GASTROR 20MG 7	20	MG
